"spaceid","blockface","metertype","ratetype","raterange","timelimit","latlng"
"SV695A","7001 DE LONGPRE AVE","Single-Space","FLAT","$1.00","2HR","(34.096205, -118.343385)"
"VW297","600 SHATTO PL","Single-Space","FLAT","$1.50","1HR","(34.062682, -118.28982)"
"WW1381","501 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.081328, -118.309244)"
"AE367","701 BANNING ST","Single-Space","FLAT","$1.50","2HR","(34.049348, -118.233238)"
"HW51","5300 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.098011, -118.306436)"
"WU989","601 ST PAUL AVE","Single-Space","FLAT","$1.50","1HR","(34.052842, -118.261453)"
"CB2786","101 OLYMPIC BLVD","Single-Space","TOD","$1.00 - $5.00","2HR","(34.040068, -118.256134)"
"HP224","101 AVENUE 55","Single-Space","FLAT","$1.50","2HR","(34.108486, -118.195606)"
"WW1283","3801 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.069122, -118.298782)"
"V75","100 VENICE WAY","Single-Space","TOD","$1.50 - $2.00","1HR","(33.987243, -118.471043)"
"HO278B","6300 SELMA AVE","Single-Space","TOD","$1.00 - $4.00","2HR","(34.099727, -118.327912)"
"CB4450","900 OLIVE ST","Single-Space","FLAT","$1.00","4HR","(34.043115, -118.258656)"
"P262","16601 MARQUEZ AVE","Single-Space","FLAT","$1.00","2HR","(34.048179, -118.544565)"
"WW2140","3600 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.061614, -118.305622)"
"MD133","1801 MARENGO ST","Single-Space","FLAT","$1.50","4HR","(34.058255, -118.210877)"
"VN868","14400 SYLVAN ST","Single-Space","FLAT","$1.50","2HR","(34.184584, -118.448086)"
"CB3805","401 WALL ST","Single-Space","TOD","$2.00 - $6.00","2HR","(34.046119, -118.244948)"
"SL328","4301 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.095186, -118.283244)"
"WB93","2001 BROADWAY","Single-Space","FLAT","$1.50","4HR","(34.030016, -118.266831)"
"LP257","3400 43RD ST","Single-Space","FLAT","$1.50","2HR","(34.005911, -118.332579)"
"56856","10330 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.058213, -118.422535)"
"WA1165","2301 WILSHIRE BLVD","Single-Space","FLAT","$1.50","4HR","(34.059645, -118.278737)"
"BH56","2301 CESAR E CHAVEZ AVE","Single-Space","FLAT","$1.50","1HR","(34.047088, -118.20821)"
"SA138","1201 ECHO PARK AVE","Single-Space","FLAT","$1.50","1HR","(34.076581, -118.257551)"
"BF172","7600 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083607, -118.355736)"
"LM471","7101 BEVERLY BLVD","Single-Space","FLAT","$1.50","1HR","(34.076263, -118.345535)"
"HP152","101 AVENUE 59","Single-Space","FLAT","$1.50","2HR","(34.110895, -118.191128)"
"SP549","400 7TH ST","Single-Space","FLAT","$1.50","2HR","(33.737921, -118.287324)"
"WF10","8001 3RD ST","Single-Space","FLAT","$1.50","2HR","(34.072023, -118.364369)"
"HW282","5001 HOLLYWOOD BLVD","Single-Space","FLAT","$1.50","1HR","(34.101849, -118.299725)"
"WW2390","3001 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.047278, -118.308226)"
"WV277","1001 WESTWOOD BLVD","Single-Space","TOD","$1.00 - $1.50","2HR","(34.061138, -118.44553)"
"LH234","2201 NORTH BROADWAY","Single-Space","FLAT","$1.50","1HR","(34.073723, -118.217293)"
"LC137A","301 LA CIENEGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.0779, -118.376707)"
"CB3973","301 16TH ST","Single-Space","FLAT","$1.00","4HR","(34.032228, -118.259995)"
"VN1014","14400 HAMLIN ST","Single-Space","FLAT","$1.50","2HR","(34.188601, -118.448338)"
"SP468","600 PALOS VERDES ST","Single-Space","FLAT","$1.50","2HR","(33.738413, -118.281286)"
"MD901","1201 CUMMINGS ST","Single-Space","FLAT","$1.50","4HR","(34.058685, -118.205708)"
"SP305","400 8TH ST","Single-Space","FLAT","$1.50","2HR","(33.737007, -118.287589)"
"PB100","1301 DUNSMUIR AVE","Single-Space","FLAT","$1.50","2HR","(34.048667, -118.353739)"
"ED530","1301 PALOMA ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.030005, -118.248711)"
"SW510","5401 ROMAINE ST","Single-Space","FLAT","$1.50","2HR","(34.088544, -118.309867)"
"RA114","400 ROBERTSON BLVD","Single-Space","FLAT","$2.50","2HR","(34.071466, -118.383674)"
"L124","200 LARCHMONT BLVD","Single-Space","FLAT","$1.50","2HR","(34.074863, -118.323519)"
"VN1169","6800 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.196118, -118.448545)"
"WU897","1000 BURLINGTON AVE","Single-Space","FLAT","$1.50","2HR","(34.049503, -118.276929)"
"WA999","2100 OLYMPIC BLVD","Single-Space","FLAT","$1.50","2HR","(34.051971, -118.280701)"
"CB2376","1300 SAN PEDRO ST","Single-Space","FLAT","$1.00","2HR","(34.032438, -118.25411)"
"PR97","1100 CLARK DR","Single-Space","FLAT","$1.50","2HR","(34.05539, -118.384701)"
"WU1089","1101 INGRAHAM ST","Single-Space","FLAT","$1.50","2HR","(34.052081, -118.264293)"
"CB599","100 11TH ST","Single-Space","FLAT","$1.00","4HR","(34.038629, -118.257519)"
"HO649","1701 WHITLEY AVE","Single-Space","TOD","$1.50 - $3.00","2HR","(34.101808, -118.333402)"
"VW478","650 WILSHIRE PL","Single-Space","FLAT","$1.50","2HR","(34.060666, -118.287754)"
"WA30","1900 7TH ST","Single-Space","FLAT","$1.50","1HR","(34.055536, -118.274989)"
"PB30","1300 SYCAMORE AVE","Single-Space","FLAT","$1.50","2HR","(34.048113, -118.348)"
"WB161","2101 HILL ST","Single-Space","TOD","$1.00 - $2.50","4HR","(34.029726, -118.268368)"
"WA535","2301 6TH ST","Single-Space","FLAT","$1.50","1HR","(34.060828, -118.277536)"
"WN30","700 AVALON BLVD","Single-Space","FLAT","$1.50","2HR","(33.779379, -118.262295)"
"VN1131","6600 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.191335, -118.448572)"
"WH197","21801 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.168554, -118.603371)"
"HO879","6701 SELMA AVE","Single-Space","FLAT","$2.00","2HR","(34.099763, -118.337215)"
"SW225","5001 MELROSE AVE","Single-Space","FLAT","$1.50","1HR","(34.083594, -118.30996)"
"MV200","3801 GRAND VIEW BLVD","Single-Space","FLAT","$1.50","1HR","(34.003145, -118.429942)"
"HO593","1700 WILCOX AVE","Single-Space","TOD","$1.00 - $5.00","2HR","(34.102216, -118.33098)"
"CB4181","1401 MYRTLE ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.032046, -118.257111)"
"CB110","700 FIGUEROA ST","Single-Space","FLAT","$4.00","4HR","(34.048681, -118.260412)"
"VH214","4501 AVOCADO ST","Single-Space","FLAT","$1.50","2HR","(34.110769, -118.287968)"
"MD156","1601 MARENGO ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.059142, -118.21282)"
"CB4395","800 SPRING ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.042808, -118.253791)"
"GA216","3900 REVERE AVE","Single-Space","FLAT","$1.50","2HR","(34.125441, -118.263418)"
"R254","18300 SHERMAN WAY","Single-Space","FLAT","$1.50","2HR","(34.201021, -118.533241)"
"LC210","8200 BEVERLY BLVD","Single-Space","FLAT","$1.50","2HR","(34.075971, -118.369405)"
"LH109","2400 SICHEL ST","Single-Space","FLAT","$1.50","2HR","(34.073921, -118.21301)"
"PR127","8900 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.055128, -118.386084)"
"HO196","1600 IVAR AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.10013, -118.328073)"
"93234","3724 SUNSET BLVD","Multi-Space","FLAT","$1.50","2HR","(34.090675, -118.278468)"
"GA18","3601 EDENHURST AVE","Single-Space","FLAT","$1.50","2HR","(34.118282, -118.261271)"
"WU1178","1100 8TH ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.049643, -118.265994)"
"CB1290","1000 GRAND AVE","Single-Space","FLAT","$1.00","4HR","(34.042552, -118.260915)"
"PR180A","1400 ROBERTSON BLVD","Single-Space","FLAT","$1.50","2HR","(34.053177, -118.383829)"
"SL549","2800 ROWENA AVE","Single-Space","FLAT","$1.50","2HR","(34.108034, -118.267441)"
"MV203B","3800 GRAND VIEW BLVD","Single-Space","FLAT","$1.50","2HR","(34.003272, -118.429868)"
"SL422","2800 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.082452, -118.272864)"
"WV7","10901 LE CONTE AVE","Single-Space","TOD","$1.00 - $2.00","2HR","(34.063705, -118.448632)"
"BH135","1900 CESAR E CHAVEZ AVE","Single-Space","FLAT","$1.50","1HR","(34.049006, -118.212928)"
"CB2574","700 WALL ST","Single-Space","TOD","$1.00 - $6.00","2HR","(34.041687, -118.248673)"
"PM41","3200 MOTOR AVE","Single-Space","FLAT","$1.50","1HR","(34.029829, -118.411013)"
"WA921","701 PARK VIEW ST","Single-Space","FLAT","$1.50","2HR","(34.057452, -118.28019)"
"SG146","7201 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.098086, -118.347061)"
"56408","10938 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.048871, -118.439184)"
"WU426","1400 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.054224, -118.267787)"
"BF685B","601 LA JOLLA AVE","Single-Space","FLAT","$1.50","2HR","(34.083343, -118.368057)"
"CB2562","700 WALL ST","Single-Space","TOD","$1.00 - $6.00","2HR","(34.040813, -118.249584)"
"WA717","651 CORONADO ST","Single-Space","FLAT","$1.50","1HR","(34.060254, -118.281671)"
"CC255","500 HILL ST","Single-Space","TOD","$1.50 - $2.00","4HR","(34.058081, -118.241849)"
"WW959","601 HARVARD BLVD","Single-Space","FLAT","$1.50","2HR","(34.062216, -118.304184)"
"CB1570","1001 MAPLE AVE","Single-Space","TOD","$1.00 - $7.00","2HR","(34.037708, -118.25477)"
"LC134","401 LA CIENEGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.078833, -118.376696)"
"WA326","801 ALVARADO ST","Single-Space","FLAT","$1.50","1HR","(34.054274, -118.278328)"
"WV438","1001 TIVERTON AVE","Single-Space","TOD","$1.00 - $3.00","30MIN","(34.060178, -118.443349)"
"CB39","1500 FIGUEROA ST","Single-Space","FLAT","$1.00","4HR","(34.037708, -118.269783)"
"SG107","1401 VISTA ST","Single-Space","FLAT","$1.50","2HR","(34.097634, -118.351804)"
"MD7","1600 MARENGO ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.059761, -118.213745)"
"WW2155","3500 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.061633, -118.30242)"
"SP664","501 MESA ST","Single-Space","FLAT","$1.50","2HR","(33.738939, -118.285777)"
"HO453","1700 VINE ST","Single-Space","TOD","$1.00 - $4.00","2HR","(34.102265, -118.326565)"
"WW1611","3300 8TH ST","Single-Space","FLAT","$1.50","1HR","(34.057623, -118.300127)"
"MM319A","601 MASSELIN AVE","Single-Space","FLAT","$1.50","30MIN","(34.062705, -118.352575)"
"R560","18500 Wyandotte St","Single-Space","FLAT","$1.50","2HR","(34.202895, -118.536618)"
"WA890A","650 PARK VIEW ST","Single-Space","FLAT","$1.50","2HR","(34.05923, -118.27966)"
"VN904","14400 FRIAR ST","Single-Space","FLAT","$1.50","2HR","(34.185624, -118.448347)"
"CB2809","401 4TH ST","Single-Space","TOD","$3.00 - $6.00","4HR","(34.050787, -118.251123)"
"WA530","2301 6TH ST","Single-Space","FLAT","$1.50","1HR","(34.060669, -118.277179)"
"VW1660","2600 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.047163, -118.295632)"
"W168","6201 98TH ST","Single-Space","FLAT","$1.50","2HR","(33.947409, -118.395106)"
"BF36","401 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.079007, -118.361553)"
"VN280","6351 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.185917, -118.448865)"
"CB3953","301 WINSTON ST","Single-Space","TOD","$1.00 - $4.00","2HR","(34.045137, -118.243802)"
"SG188C","1500 LAUREL CANYON BLVD","Single-Space","FLAT","$1.50","2HR","(34.098367, -118.365031)"
"WW1741","650 SERRANO AVE","Single-Space","FLAT","$1.50","1HR","(34.060155, -118.306518)"
"WU954","1300 OLYMPIC BLVD","Single-Space","FLAT","$1.50","2HR","(34.047471, -118.270667)"
"SVV261A","4801 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.09095, -118.29425)"
"HO9","1601 MCCADDEN PL","Single-Space","TOD","$1.50 - $5.00","4HR","(34.100017, -118.337024)"
"LM320","7400 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083524, -118.351946)"
"WS301","2101 WESTWOOD BLVD","Single-Space","FLAT","$1.50","1HR","(34.044389, -118.432302)"
"SS276","11900 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","2HR","(34.041739, -118.460347)"
"WA1038","1901 OLYMPIC BLVD","Single-Space","FLAT","$1.50","2HR","(34.051159, -118.278341)"
"WF231","8100 3RD ST","Single-Space","FLAT","$1.50","2HR","(34.072168, -118.366787)"
"CB2815","401 4TH ST","Single-Space","TOD","$3.00 - $6.00","4HR","(34.050557, -118.250767)"
"HW131","5401 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.098211, -118.307508)"
"RS105","2801 ROBERTSON BLVD","Single-Space","FLAT","$1.50","1HR","(34.036098, -118.389102)"
"SW381","5000 MELROSE AVE","Single-Space","FLAT","$1.50","1HR","(34.083426, -118.309984)"
"CC1434","601 3RD ST","Single-Space","TOD","$5.00 - $6.00","2HR","(34.053562, -118.2519)"
"VN1141","6600 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.192066, -118.448572)"
"AE555","401 GAREY ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.051525, -118.23438)"
"LP82","4601 CRENSHAW BLVD","Single-Space","FLAT","$1.50","4HR","(34.000855, -118.330919)"
"SVV401","700 HELIOTROPE DR","Single-Space","FLAT","$1.50","4HR","(34.085033, -118.294867)"
"VW764","3401 6TH ST","Single-Space","FLAT","$1.50","2HR","(34.063676, -118.296155)"
"CB2305A","600 12TH ST","Single-Space","FLAT","$1.00","4HR","(34.033893, -118.253744)"
"CT82","600 NORTH BROADWAY","Single-Space","FLAT","$1.00","2HR","(34.059346, -118.239685)"
"LM822","6900 MELROSE AVE","Single-Space","FLAT","$1.50","1HR","(34.083359, -118.342505)"
"WW1804","4100 5TH ST","Single-Space","FLAT","$1.50","2HR","(34.065274, -118.308755)"
"AE466","400 GAREY ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.051525, -118.234251)"
"LM325C","601 MARTEL AVE","Single-Space","FLAT","$1.50","2HR","(34.083209, -118.351165)"
"AE231","100 HEWITT ST","Single-Space","FLAT","$1.50","2HR","(34.048411, -118.236052)"
"SVV241","1101 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.091387, -118.291862)"
"BF576A","8201 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083803, -118.368644)"
"SG249","1500 FULLER AVE","Single-Space","FLAT","$1.50","2HR","(34.098637, -118.348885)"
"WW1952A","3700 7TH ST","Single-Space","FLAT","$1.50","2HR","(34.059617, -118.308503)"
"WA1224","300 ALVARADO ST","Single-Space","FLAT","$1.50","1HR","(34.061769, -118.27332)"
"CB1149","901 HILL ST","Single-Space","TOD","$1.50 - $3.00","4HR","(34.042423, -118.257819)"
"CB1950","201 14TH ST","Single-Space","TOD","$1.00 - $2.00","2HR","(34.034529, -118.25966)"
"WS224","1701 WESTWOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.051447, -118.438613)"
"LT24","300 3RD ST","Single-Space","TOD","$0.50 - $1.50","2HR","(34.047661, -118.243379)"
"CP151","7101 OWENSMOUTH AVE","Single-Space","FLAT","$1.50","2HR","(34.200527, -118.601671)"
"CB426","1400 LOS ANGELES ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.034325, -118.260364)"
"CP228","7201 OWENSMOUTH AVE","Single-Space","FLAT","$1.50","2HR","(34.201949, -118.601676)"
"MV118","12601 VENICE BLVD","Single-Space","FLAT","$1.50","1HR","(34.002266, -118.43675)"
"HO198","1600 IVAR AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.100327, -118.328074)"
"WU8","500 BIXEL ST","Single-Space","FLAT","$1.50","1HR","(34.054436, -118.261612)"
"CB3943","300 WINSTON ST","Single-Space","TOD","$1.00 - $6.00","2HR","(34.045329, -118.244692)"
"SS528","11301 IOWA AVE","Single-Space","FLAT","$1.50","2HR","(34.044712, -118.448619)"
"P220","801 ALMA REAL DR","Single-Space","FLAT","$1.00","2HR","(34.044497, -118.524961)"
"CB3748","501 LOS ANGELES ST","Single-Space","TOD","$2.00 - $4.00","2HR","(34.045787, -118.247956)"
"VN335A","14501 SYLVAN ST","Single-Space","FLAT","$1.50","2HR","(34.184736, -118.450042)"
"WU68","401 BIXEL ST","Single-Space","FLAT","$1.50","1HR","(34.056535, -118.260537)"
"BF533","301 ORANGE GROVE AVE","Single-Space","FLAT","$1.50","1HR","(34.076461, -118.360438)"
"CB3351","400 9TH ST","Single-Space","TOD","$1.50 - $7.00","2HR","(34.038906, -118.252216)"
"WW1927","800 IROLO ST","Single-Space","FLAT","$1.50","2HR","(34.057182, -118.300823)"
"MV36","3701 GRAND VIEW BLVD","Single-Space","FLAT","$1.50","1HR","(34.005216, -118.431615)"
"MV156","12300 VENICE BLVD","Single-Space","FLAT","$1.50","2HR","(34.004138, -118.432317)"
"ED206A","751 12TH ST","Single-Space","FLAT","$1.00","2HR","(34.032728, -118.251234)"
"LM526","7401 BEVERLY BLVD","Single-Space","FLAT","$1.50","2HR","(34.076245, -118.352457)"
"WH139","21101 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.16714, -118.593193)"
"VW1950","2901 SAN MARINO ST","Single-Space","FLAT","$1.50","2HR","(34.054588, -118.292025)"
"CB1062","1100 BROADWAY","Single-Space","TOD","$1.00 - $3.00","4HR","(34.039098, -118.259327)"
"WA1375","2101 3RD ST","Single-Space","FLAT","$1.50","2HR","(34.063195, -118.273277)"
"C1225","900 30TH ST","Single-Space","FLAT","$1.50","4HR","(34.026919, -118.282568)"
"LP11","4201 CRENSHAW BLVD","Single-Space","FLAT","$1.50","2HR","(34.007202, -118.335026)"
"LM694","100 LA BREA AVE","Single-Space","FLAT","$1.50","1HR","(34.071859, -118.343911)"
"52422","620 JEFFERSON BLVD","Multi-Space","FLAT","$1.50","4HR","(34.022375, -118.281269)"
"CB717A","801 MAPLE AVE","Single-Space","TOD","$2.00 - $5.00","2HR","(34.040402, -118.251761)"
"AE619","701 JACKSON ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.050974, -118.231991)"
"ER61A","2200 COLORADO BLVD","Single-Space","FLAT","$1.50","1HR","(34.139158, -118.215107)"
"LT36A","200 SAN PEDRO ST","Single-Space","TOD","$0.50 - $4.00","2HR","(34.048178, -118.242051)"
"WW1271","3701 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.06913, -118.297014)"
"ED290","1200 PALOMA ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.030574, -118.248136)"
"HW429","1701 GRAMERCY PL","Single-Space","FLAT","$1.50","2HR","(34.102109, -118.312349)"
"CB4465","401 BROADWAY","Single-Space","FLAT","$2.00","2HR","(34.048627, -118.250292)"
"CC1217","600 3RD ST","Single-Space","TOD","$6.00 - $8.00","2HR","(34.053314, -118.251801)"
"PB24","5001 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.047944, -118.347371)"
"HO404","6101 HOLLYWOOD BLVD","Single-Space","TOD","$1.00 - $3.00","2HR","(34.101747, -118.323414)"
"BH177","200 CHICAGO ST","Single-Space","FLAT","$1.50","2HR","(34.047689, -118.210314)"
"W149","9601 VICKSBURG AVE","Single-Space","FLAT","$1.50","2HR","(33.948374, -118.394001)"
"VH260","4500 HOLLYWOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.098776, -118.288232)"
"WA1347","2201 OCEAN VIEW AVE","Single-Space","FLAT","$1.50","2HR","(34.06291, -118.275055)"
"WW1917","801 HOBART BLVD","Single-Space","FLAT","$1.50","2HR","(34.057151, -118.305406)"
"WS810","1900 PONTIUS AVE","Single-Space","FLAT","$1.50","2HR","(34.043973, -118.441853)"
"SS582","1500 CORINTH AVE","Single-Space","FLAT","$1.50","2HR","(34.046877, -118.450107)"
"WU744","1601 JAMES M. WOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.051001, -118.273333)"
"WW2612","200 OXFORD AVE","Single-Space","FLAT","$1.50","1HR","(34.069181, -118.307822)"
"WS548","10901 ASHTON AVE","Single-Space","FLAT","$1.50","2HR","(34.057772, -118.443678)"
"56112","10265 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.059809, -118.421046)"
"WB811","2301 GRAND AVE","Single-Space","FLAT","$1.00","2HR","(34.028529, -118.271032)"
"SS440","1801 SAWTELLE BLVD","Single-Space","FLAT","$1.50","2HR","(34.043046, -118.445543)"
"TZ23","18401 VENTURA BLVD","Single-Space","FLAT","$1.50","1HR","(34.168284, -118.534479)"
"CB3921","400 HILL ST","Single-Space","TOD","$1.50 - $5.00","2HR","(34.04978, -118.25072)"
"CT53","600 NEW HIGH ST","Single-Space","FLAT","$1.00","4HR","(34.059043, -118.239054)"
"WF302","7901 4TH ST","Single-Space","FLAT","$1.50","2HR","(34.069994, -118.361739)"
"W20","9801 VICKSBURG AVE","Single-Space","FLAT","$1.50","2HR","(33.946685, -118.393994)"
"WW1956A","3751 7TH ST","Single-Space","FLAT","$1.50","2HR","(34.059767, -118.308592)"
"VH256","4500 HOLLYWOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.098934, -118.288469)"
"WA651","600 CORONADO ST","Single-Space","FLAT","$1.50","1HR","(34.061642, -118.2806)"
"TZ443","18900 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.172326, -118.545651)"
"BF265","701 OGDEN DR","Single-Space","FLAT","$1.50","2HR","(34.084034, -118.359513)"
"WA1330","2200 OCEAN VIEW AVE","Single-Space","FLAT","$1.50","2HR","(34.062793, -118.275001)"
"WS215","1601 WESTWOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.052259, -118.439314)"
"WS429","1600 SEPULVEDA BLVD","Single-Space","FLAT","$1.50","2HR","(34.048382, -118.444775)"
"MD79","1000 BRITTANIA ST","Single-Space","FLAT","$1.50","4HR","(34.056143, -118.208844)"
"CB349","1501 MAIN ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.034195, -118.262244)"
"CB540","1200 MAPLE AVE","Single-Space","TOD","$5.00 - $7.00","2HR","(34.035044, -118.256729)"
"SH284","1000 LAS PALMAS AVE","Single-Space","FLAT","$1.50","4HR","(34.089432, -118.336204)"
"SS133","1631 SAWTELLE BLVD","Single-Space","FLAT","$1.50","1HR","(34.045688, -118.447825)"
"66449","6376 HOLLYWOOD BLVD","Multi-Space","TOD","$1.00 - $4.00","2HR","(34.10152, -118.329093)"
"VN793A","6150 VAN NUYS BLVD","Single-Space","FLAT","$1.50","30MIN","(34.181954, -118.448565)"
"MV232","12100 VENICE BLVD","Single-Space","FLAT","$1.50","2HR","(34.005105, -118.43054)"
"93245","3612 SUNSET BLVD","Multi-Space","FLAT","$1.50","2HR","(34.090095, -118.277335)"
"ED206B","751 12TH ST","Single-Space","FLAT","$1.00","2HR","(34.032753, -118.251285)"
"UC175","3500 CAHUENGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.133772, -118.357326)"
"LP294","3401 43RD PL","Single-Space","FLAT","$1.50","2HR","(34.004322, -118.331921)"
"WS409","1700 SEPULVEDA BLVD","Single-Space","FLAT","$1.50","1HR","(34.046112, -118.442869)"
"HO180A","1600 CAHUENGA BLVD","Single-Space","TOD","$1.50 - $3.00","2HR","(34.100957, -118.329436)"
"VS103","4400 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.096396, -118.284951)"
"SA137A","1600 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.076902, -118.257949)"
"SV179","6701 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.09808, -118.337158)"
"SV186","6700 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.097877, -118.337827)"
"VW1161","650 LA FAYETTE PARK PL","Single-Space","FLAT","$1.50","2HR","(34.060728, -118.283558)"
"BH287","2000 1ST ST","Single-Space","FLAT","$1.50","1HR","(34.045086, -118.214376)"
"SL99","2300 HYPERION AVE","Single-Space","FLAT","$1.50","4HR","(34.10198, -118.272976)"
"CB1033","1101 MAIN ST","Single-Space","FLAT","$1.00","4HR","(34.038489, -118.258768)"
"SL636","1301 LIBERTY ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.079255, -118.261168)"
"SP570","401 6TH ST","Single-Space","FLAT","$1.50","2HR","(33.738699, -118.286422)"
"ED88","901 8TH ST","Single-Space","FLAT","$1.00","4HR","(34.036306, -118.246387)"
"GA124","3200 GLENDALE BLVD","Single-Space","FLAT","$1.50","1HR","(34.117753, -118.260834)"
"HO1070","6500 SELMA AVE","Single-Space","TOD","$1.00 - $2.00","2HR","(34.099704, -118.332827)"
"TZ155","18701 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.170998, -118.541223)"
"VN466","14600 VICTORY BLVD","Single-Space","FLAT","$1.50","2HR","(34.186558, -118.451423)"
"WS102A","1200 GLENDON AVE","Single-Space","FLAT","$1.50","2HR","(34.058339, -118.442126)"
"SL393","3300 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.086745, -118.275602)"
"SS26","1601 SAWTELLE BLVD","Single-Space","FLAT","$1.50","1HR","(34.046866, -118.448836)"
"LT386","601 3RD ST","Single-Space","TOD","$3.00 - $4.00","2HR","(34.045905, -118.238747)"
"SVV211","1100 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.091858, -118.29162)"
"TZ452","18800 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.171953, -118.544181)"
"WW1291","4001 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.069109, -118.301382)"
"WB1","2100 BROADWAY","Single-Space","FLAT","$1.00","4HR","(34.028922, -118.267307)"
"CB1181","201 PICO BLVD","Single-Space","FLAT","$1.00","4HR","(34.038095, -118.262764)"
"WA176","2001 6TH ST","Single-Space","FLAT","$1.50","1HR","(34.059292, -118.274089)"
"WU602","700 UNION AVE","Single-Space","FLAT","$1.50","2HR","(34.053611, -118.271189)"
"LT42","200 SAN PEDRO ST","Single-Space","TOD","$0.50 - $4.00","2HR","(34.048878, -118.241781)"
"HW527","5501 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.098197, -118.310674)"
"VN439","6401 VESPER AVE","Single-Space","FLAT","$1.50","2HR","(34.18699, -118.450967)"
"CP286","7100 OWENSMOUTH AVE","Single-Space","FLAT","$1.50","2HR","(34.200273, -118.601463)"
"WA284","2101 8TH ST","Single-Space","FLAT","$1.50","1HR","(34.055253, -118.278444)"
"SV750","6800 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.097872, -118.340204)"
"CB1072","1000 BROADWAY","Single-Space","TOD","$1.50 - $3.00","4HR","(34.040668, -118.257537)"
"CP273","7100 OWENSMOUTH AVE","Single-Space","FLAT","$1.50","2HR","(34.19938, -118.601462)"
