"spaceid","blockface","metertype","ratetype","raterange","timelimit","latlng"
"WS28A","1600 WESTWOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.052339, -118.439043)"
"WU646B","700 GARLAND AVE","Single-Space","FLAT","$1.50","2HR","(34.051471, -118.266388)"
"LC155","8400 BEVERLY BLVD","Single-Space","FLAT","$1.50","2HR","(34.07593, -118.374991)"
"AE69","500 TRACTION AVE","Single-Space","FLAT","$1.50","2HR","(34.0463, -118.237281)"
"WV30","10950 WEYBURN AVE","Single-Space","TOD","$1.50 - $3.00","2HR","(34.061704, -118.448247)"
"LT438","300 CENTRAL AVE","Single-Space","FLAT","$1.00","4HR","(34.044788, -118.239507)"
"SL119","3601 TRACY ST","Single-Space","FLAT","$1.50","2HR","(34.103738, -118.27268)"
"CB2272","1100 SAN JULIAN ST","Single-Space","FLAT","$1.00","2HR","(34.034704, -118.253991)"
"CT579","1000 NORTH BROADWAY","Single-Space","FLAT","$1.00","4HR","(34.067304, -118.235181)"
"GA213","3900 REVERE AVE","Single-Space","FLAT","$1.50","2HR","(34.125688, -118.263643)"
"VN379","14501 ERWIN ST","Single-Space","FLAT","$1.50","2HR","(34.183699, -118.449881)"
"P141","15100 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.045561, -118.523744)"
"TZ617","5501 YOLANDA AVE","Single-Space","FLAT","$1.50","2HR","(34.172051, -118.540805)"
"VW532","501 COMMONWEALTH AVE","Single-Space","FLAT","$1.50","2HR","(34.064084, -118.285762)"
"WS388","1900 SEPULVEDA BLVD","Single-Space","FLAT","$1.50","1HR","(34.044145, -118.441171)"
"HW373","5400 RUSSELL AVE","Single-Space","FLAT","$1.50","1HR","(34.104136, -118.308956)"
"LT331","400 BOYD ST","Single-Space","FLAT","$1.00","2HR","(34.046005, -118.241851)"
"WP113","400 WASHINGTON BLVD","Single-Space","TOD","$0.50 - $1.00","2HR","(33.981996, -118.461783)"
"WU746","1601 JAMES M. WOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.051063, -118.273471)"
"ED603","1100 CROCKER ST","Single-Space","TOD","$1.00 - $2.50","2HR","(34.033131, -118.25151)"
"WW207","201 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.074791, -118.309243)"
"LM830","601 ORANGE DR","Single-Space","FLAT","$1.50","2HR","(34.083175, -118.341651)"
"ED684","801 10TH ST","Single-Space","TOD","$1.00 - $2.00","4HR","(34.033947, -118.248955)"
"WS491","1600 PONTIUS AVE","Single-Space","FLAT","$1.50","1HR","(34.048532, -118.445775)"
"LC156","101 CROFT AVE","Single-Space","FLAT","$1.50","2HR","(34.075768, -118.374261)"
"SP510","300 7TH ST","Single-Space","FLAT","$1.50","2HR","(33.737909, -118.283843)"
"PB134","5501 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.049136, -118.357783)"
"SVV51","800 VERMONT AVE","Single-Space","FLAT","$1.50","2HR","(34.086034, -118.291601)"
"CB332A","1301 MAIN ST","Single-Space","TOD","$0.50 - $3.00","2HR","(34.036121, -118.260682)"
"CB2370","1400 SAN PEDRO ST","Single-Space","FLAT","$1.00","4HR","(34.031868, -118.254498)"
"ED493A","701 TOWNE AVE","Single-Space","TOD","$1.00 - $2.50","2HR","(34.037462, -118.247493)"
"CB840","1201 SANTEE ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.036122, -118.257555)"
"CB308","101 14TH ST","Single-Space","FLAT","$1.00","4HR","(34.035182, -118.261692)"
"SL262","3001 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.084011, -118.274021)"
"RA130A","8700 3RD ST","Single-Space","FLAT","$2.50","30MIN","(34.073508, -118.383011)"
"HO484B","6351 YUCCA ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.104087, -118.328605)"
"TZ384","19300 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.172559, -118.554058)"
"WF202","301 SWEETZER AVE","Single-Space","FLAT","$1.50","2HR","(34.072471, -118.370115)"
"SV214","6500 SUNSET BLVD","Single-Space","TOD","$1.00 - $1.50","2HR","(34.097887, -118.332779)"
"VN394","6200 VESPER AVE","Single-Space","FLAT","$1.50","2HR","(34.184389, -118.450831)"
"HW524","5501 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.098201, -118.310215)"
"MM591","701 GENESEE AVE","Single-Space","FLAT","$1.50","2HR","(34.061958, -118.359337)"
"LM335","7300 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083486, -118.350207)"
"52177","1161 JEFFERSON BLVD","Multi-Space","FLAT","$1.50","4HR","(34.025598, -118.290582)"
"WV301","1100 WESTWOOD BLVD","Single-Space","TOD","$1.50 - $3.00","2HR","(34.059878, -118.444687)"
"HP165","101 AVENUE 58","Single-Space","FLAT","$1.50","2HR","(34.110333, -118.191949)"
"MD929","1101 CHICAGO ST","Single-Space","FLAT","$1.50","4HR","(34.056928, -118.205596)"
"CC965B","1000 SUNSET BLVD","Single-Space","JUMP","$1/H - $4/6H","6HR","(34.064143, -118.248235)"
"HO213","1601 IVAR AVE","Single-Space","TOD","$0.50 - $2.00","2HR","(34.101293, -118.328244)"
"ED521B","1000 TOWNE AVE","Single-Space","TOD","$1.00 - $2.00","2HR","(34.033729, -118.249867)"
"LH17","200 AVENUE 24","Single-Space","FLAT","$1.50","30MIN","(34.073291, -118.21686)"
"PC10","4101 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.047733, -118.324813)"
"RA158A","8500 3RD ST","Single-Space","FLAT","$2.50","2HR","(34.073499, -118.379212)"
"WU285","600 LUCAS AVE","Single-Space","FLAT","$1.50","2HR","(34.053206, -118.264638)"
"SG229A","1500 DETROIT ST","Single-Space","FLAT","$1.50","2HR","(34.098531, -118.345508)"
"VS448","4701 FOUNTAIN AVE","Single-Space","FLAT","$1.50","4HR","(34.095621, -118.292218)"
"SL512","2401 SILVER LAKE BLVD","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.100905, -118.258644)"
"BF224","7601 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083768, -118.35559)"
"HW83","1400 KINGSLEY DR","Single-Space","FLAT","$1.50","1HR","(34.097647, -118.303081)"
"VS336","4900 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.098024, -118.296664)"
"CB3272","600 8TH ST","Single-Space","TOD","$1.50 - $7.00","2HR","(34.038667, -118.249236)"
"PR246","9001 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.055372, -118.388543)"
"WW349","3951 6TH ST","Single-Space","FLAT","$1.50","1HR","(34.0636, -118.310095)"
"ER81","5000 EAGLE ROCK BLVD","Single-Space","FLAT","$1.50","1HR","(34.137467, -118.214386)"
"CB4275","1001 SAN JULIAN ST","Single-Space","TOD","$0.50 - $1.00","4HR","(34.036435, -118.25277)"
"SVV109","4600 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.090789, -118.290528)"
"CS102","5300 CRENSHAW BLVD","Single-Space","FLAT","$1.50","2HR","(33.993728, -118.330546)"
"CB3877","301 9TH ST","Single-Space","TOD","$1.00 - $7.00","2HR","(34.039862, -118.253008)"
"SW74","5401 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.090872, -118.307643)"
"WW1958","3751 7TH ST","Single-Space","FLAT","$1.50","2HR","(34.059768, -118.308836)"
"WW2162","3350 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.061661, -118.297713)"
"VW1146","651 LA FAYETTE PARK PL","Single-Space","FLAT","$1.50","2HR","(34.060761, -118.283792)"
"ED227","700 12TH ST","Single-Space","FLAT","$1.00","2HR","(34.033029, -118.252124)"
"SH275","1001 LAS PALMAS AVE","Single-Space","FLAT","$1.50","4HR","(34.089376, -118.336349)"
"LC40","8400 WILLOUGHBY AVE","Single-Space","FLAT","$1.50","2HR","(34.086954, -118.376009)"
"LC12","700 LA CIENEGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.084647, -118.376367)"
"SVV220","4600 VERMONT PL","Single-Space","FLAT","$1.50","2HR","(34.092362, -118.290874)"
"WW203","201 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.075209, -118.309245)"
"SVV511","4600 WILLOW BROOK AVE","Single-Space","JUMP","$1.5/H - $6/6H","6HR","(34.089383, -118.292531)"
"WS358","1800 WESTWOOD BLVD","Single-Space","FLAT","$1.50","1HR","(34.048515, -118.435604)"
"CB27","700 5TH ST","Single-Space","TOD","$5.00 - $7.00","2HR","(34.051157, -118.255551)"
"HO104","1601 SCHRADER BLVD","Single-Space","TOD","$1.00 - $4.00","2HR","(34.100429, -118.332545)"
"SG38","1501 CURSON AVE","Single-Space","FLAT","$1.50","2HR","(34.098289, -118.355078)"
"PR380","9501 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.055349, -118.396458)"
"CB1448","1001 HOPE ST","Single-Space","TOD","$1.00 - $2.00","4HR","(34.042719, -118.262742)"
"ED50","501 CENTRAL AVE","Single-Space","FLAT","$1.00","4HR","(34.041105, -118.239991)"
"L70","101 LARCHMONT BLVD","Single-Space","FLAT","$1.50","2HR","(34.073616, -118.323754)"
"WP105","400 WASHINGTON BLVD","Single-Space","TOD","$0.50 - $1.00","2HR","(33.981624, -118.462369)"
"VN1101","14400 KITTRIDGE ST","Single-Space","FLAT","$1.50","2HR","(34.190626, -118.447482)"
"C415","3500 FIGUEROA ST","Single-Space","FLAT","$1.50","4HR","(34.01935, -118.281461)"
"C470","3000 FIGUEROA ST","Single-Space","FLAT","$1.50","1HR","(34.024335, -118.278281)"
"PR354","1100 ELM DR","Single-Space","FLAT","$1.50","2HR","(34.055614, -118.39483)"
"HP183","5701 FIGUEROA ST","Single-Space","FLAT","$1.50","1HR","(34.109903, -118.192418)"
"PB72","5101 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.04821, -118.350954)"
"SS159","1500 COLBY AVE","Single-Space","FLAT","$1.50","2HR","(34.045325, -118.453098)"
"VW1794","1201 ARAPAHOE ST","Single-Space","FLAT","$1.50","2HR","(34.047525, -118.285411)"
"WA1568","1501 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.044206, -118.275735)"
"VN994","14401 GILMORE ST","Single-Space","FLAT","$1.50","2HR","(34.187713, -118.446818)"
"WA1747","2100 VALLEY ST","Single-Space","FLAT","$1.50","4HR","(34.065038, -118.272135)"
"ED77","1101 8TH ST","Single-Space","FLAT","$1.00","4HR","(34.035102, -118.244933)"
"WV507","10801 LE CONTE AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.06378, -118.444676)"
"WW143","200 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.075292, -118.309049)"
"CC544","301 HILL ST","Single-Space","FLAT","$6.00","4HR","(34.050879, -118.249992)"
"SL284","3201 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.086324, -118.275119)"
"56492","10768 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.05068, -118.433694)"
"WS813","11100 MISSOURI AVE","Single-Space","FLAT","$1.50","2HR","(34.044268, -118.441869)"
"56622","10630 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.052812, -118.430437)"
"CC713","401 CESAR E CHAVEZ AVE","Single-Space","FLAT","$1.00","4HR","(34.059221, -118.241179)"
"WV340","1000 GLENDON AVE","Single-Space","TOD","$1.50 - $2.00","2HR","(34.061186, -118.444296)"
"SVV14A","4700 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.090781, -118.293341)"
"CB1176","201 PICO BLVD","Single-Space","FLAT","$1.00","4HR","(34.037848, -118.262328)"
"HO490A","6351 YUCCA ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.104083, -118.329234)"
"UC81","3401 CAHUENGA BLVD","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.132272, -118.353746)"
"CB3349A","400 9TH ST","Single-Space","TOD","$1.50 - $7.00","2HR","(34.039054, -118.252377)"
"CC899","200 FIGUEROA ST","Single-Space","TOD","$1.00 - $3.00","4HR","(34.058767, -118.250447)"
"W33","9900 VICKSBURG AVE","Single-Space","FLAT","$1.50","2HR","(33.946017, -118.39385)"
"WV678","10800 WEYBURN AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.06214, -118.443107)"
"CB3762","601 LOS ANGELES ST","Single-Space","TOD","$3.00 - $5.00","2HR","(34.043677, -118.250105)"
"WS671","1701 MANNING AVE","Single-Space","FLAT","$1.50","2HR","(34.052746, -118.431793)"
"CC797","101 FREMONT AVE","Single-Space","TOD","$1.00 - $2.00","4HR","(34.058874, -118.252784)"
"PR58","1100 ROBERTSON BLVD","Single-Space","FLAT","$1.50","2HR","(34.056897, -118.383564)"
"SP274","800 PACIFIC AVE","Single-Space","FLAT","$1.50","2HR","(33.736693, -118.287819)"
"ED502","801 CROCKER ST","Single-Space","FLAT","$1.00","4HR","(34.037506, -118.24849)"
"ER98B","5000 EAGLE ROCK BLVD","Single-Space","FLAT","$1.50","1HR","(34.138761, -118.213997)"
"PB186","5701 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.051038, -118.363667)"
"CC1600","801 4TH ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.05258, -118.253753)"
"WW777","600 MARIPOSA AVE","Single-Space","FLAT","$1.50","1HR","(34.062668, -118.299114)"
"VN799","14400 DELANO ST","Single-Space","FLAT","$1.50","2HR","(34.182601, -118.447269)"
"WA663","601 CORONADO ST","Single-Space","FLAT","$1.50","1HR","(34.060873, -118.281266)"
"LM353","601 POINSETTIA PL","Single-Space","FLAT","$1.50","2HR","(34.083331, -118.348711)"
"CP248","22001 SHERMAN WAY","Single-Space","FLAT","$1.50","2HR","(34.201132, -118.607599)"
"AE616","701 JACKSON ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.050946, -118.231783)"
"RA105C","8700 COLGATE AVE","Single-Space","FLAT","$2.50","2HR","(34.07076, -118.383348)"
"AE127","201 HEWITT ST","Single-Space","FLAT","$1.50","2HR","(34.04698, -118.23619)"
"VN211","14501 GILMORE ST","Single-Space","FLAT","$1.50","2HR","(34.187712, -118.449932)"
"BF664","600 SWEETZER AVE","Single-Space","FLAT","$1.50","2HR","(34.083404, -118.370248)"
"CB4066A","500 11TH ST","Single-Space","TOD","$1.00 - $2.00","4HR","(34.035981, -118.253454)"
"WS379A","1900 SEPULVEDA BLVD","Single-Space","FLAT","$1.50","1HR","(34.043623, -118.44072)"
"VW1901","3300 4TH ST","Single-Space","FLAT","$1.50","2HR","(34.067317, -118.292254)"
"CB4408","1101 SAN PEDRO ST","Single-Space","FLAT","$1.00","4HR","(34.034581, -118.252801)"
"VN370","6251 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.183962, -118.448862)"
"CB2742","701 SAN PEDRO ST","Single-Space","TOD","$1.00 - $4.00","2HR","(34.040041, -118.247608)"
"CB446","200 PICO BLVD","Single-Space","TOD","$1.00 - $3.00","2HR","(34.035333, -118.258748)"
"PB20","1301 ORANGE DR","Single-Space","FLAT","$1.50","2HR","(34.048196, -118.346915)"
"SL81","2200 HYPERION AVE","Single-Space","FLAT","$1.50","4HR","(34.100033, -118.273268)"
"MD740","2001 ALCAZAR ST","Single-Space","FLAT","$1.50","15MIN","(34.06353, -118.201788)"
"CC757","301 FREMONT AVE","Single-Space","TOD","$1.00 - $1.50","2HR","(34.060609, -118.24967)"
"MM532","301 LA BREA AVE","Single-Space","FLAT","$1.50","1HR","(34.067742, -118.344146)"
"CB79","301 OLYMPIC BLVD","Single-Space","TOD","$1.00 - $7.00","2HR","(34.038782, -118.254565)"
"CC1579","200 BROADWAY","Single-Space","FLAT","$3.00","2HR","(34.051907, -118.247011)"
"WS315","10801 MISSISSIPPI AVE","Single-Space","FLAT","$1.50","2HR","(34.045465, -118.432675)"
"ED310","1100 12TH ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.030518, -118.246209)"
"WA649","600 CORONADO ST","Single-Space","FLAT","$1.50","1HR","(34.061536, -118.280668)"
"WV129","10951 WEYBURN AVE","Single-Space","TOD","$1.50 - $2.00","30MIN","(34.062203, -118.447756)"
"LT169","101 SAN PEDRO ST","Single-Space","FLAT","$5.00","15MIN","(34.050065, -118.241276)"
"WF207","8200 3RD ST","Single-Space","FLAT","$1.50","2HR","(34.072507, -118.369336)"
"VN1089","6550 VAN NUYS BLVD","Single-Space","FLAT","$1.50","30MIN","(34.190161, -118.448572)"
"LC112","701 LA CIENEGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.084439, -118.376596)"
"C42","1301 30TH ST","Single-Space","FLAT","$1.50","1HR","(34.027826, -118.291955)"
"WU156","1601 6TH ST","Single-Space","FLAT","$1.50","1HR","(34.057277, -118.269578)"
"ED170B","1101 12TH ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.031182, -118.24752)"
"SV773","1301 HIGHLAND AVE","Single-Space","FLAT","$1.00","2HR","(34.095148, -118.338753)"
"CB4091","101 17TH ST","Single-Space","FLAT","$1.00","4HR","(34.032705, -118.262719)"
"WW1595","3300 8TH ST","Single-Space","FLAT","$1.50","1HR","(34.057608, -118.302689)"
"MM119","701 DETROIT ST","Single-Space","FLAT","$1.50","2HR","(34.061798, -118.345379)"
"SS560","1600 BUTLER AVE","Single-Space","FLAT","$1.50","2HR","(34.044615, -118.451041)"
"CC826","300 FREMONT AVE","Single-Space","TOD","$1.00 - $1.50","2HR","(34.060152, -118.250266)"
"SL399","3200 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.085961, -118.275229)"
"WV571","10800 LE CONTE AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.063766, -118.442028)"
"93205","3930 SUNSET BLVD","Multi-Space","FLAT","$1.50","2HR","(34.092002, -118.280072)"
"WA1589","1701 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.045204, -118.277946)"
"LM314","601 VISTA ST","Single-Space","FLAT","$1.50","2HR","(34.083342, -118.352288)"
"SS334","1500 STONER AVE","Single-Space","FLAT","$1.50","2HR","(34.043076, -118.456815)"
"MM478A","500 LA BREA AVE","Single-Space","FLAT","$1.50","2HR","(34.065435, -118.343897)"
"SG230","1500 DETROIT ST","Single-Space","FLAT","$1.50","2HR","(34.098602, -118.345507)"
"VN494","6201 VESPER AVE","Single-Space","FLAT","$1.50","2HR","(34.184049, -118.450964)"
"BF516","7701 BEVERLY BLVD","Single-Space","FLAT","$1.50","1HR","(34.076218, -118.358976)"
"SL447","2600 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.080287, -118.270312)"
"WF218","8200 3RD ST","Single-Space","FLAT","$1.50","2HR","(34.072402, -118.368487)"
"WW514","650 HARVARD BLVD","Single-Space","FLAT","$1.50","2HR","(34.060093, -118.304098)"
"VN168","14501 HAMLIN ST","Single-Space","FLAT","$1.50","2HR","(34.188747, -118.450087)"
"61322","1501 MAIN ST","Multi-Space","TOD","$0.50 - $2.00","1HR","(33.988649, -118.471642)"
"VN291","14501 FRIAR ST","Single-Space","FLAT","$1.50","2HR","(34.185734, -118.450055)"
"CB2229","1101 SAN JULIAN ST","Single-Space","FLAT","$1.00","4HR","(34.035501, -118.25352)"
"WV91","10901 KINROSS AVE","Single-Space","TOD","$0.50 - $3.00","2HR","(34.060678, -118.445892)"
"PB208","1301 ORANGE GROVE AVE","Single-Space","FLAT","$1.50","2HR","(34.051682, -118.365575)"
"VN488","6301 VESPER AVE","Single-Space","FLAT","$1.50","2HR","(34.184921, -118.450965)"
"C45","1300 30TH ST","Single-Space","FLAT","$1.50","1HR","(34.027708, -118.291951)"
"BF557","8101 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083831, -118.36664)"
"WU443","670 WITMER ST","Single-Space","FLAT","$1.50","2HR","(34.053317, -118.26689)"
"CB48","1300 FIGUEROA ST","Single-Space","FLAT","$1.00","4HR","(34.039321, -118.26875)"
"BF726","7500 BEVERLY BLVD","Single-Space","FLAT","$1.50","2HR","(34.076035, -118.354547)"
"TZ202","18901 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.172545, -118.545591)"
"WA1200","2200 WILSHIRE BLVD","Single-Space","FLAT","$1.50","4HR","(34.058769, -118.276954)"
"ED93","701 8TH ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.037417, -118.247729)"
"PM218","3800 VINTON AVE","Single-Space","FLAT","$1.50","1HR","(34.020881, -118.402231)"
"PB132","5501 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.049085, -118.357632)"
"C136","3601 VERMONT AVE","Single-Space","FLAT","$1.50","4HR","(34.021293, -118.291682)"
"PB115","1301 RIDGELEY DR","Single-Space","FLAT","$1.50","4HR","(34.048812, -118.355708)"
"PB196A","1300 OGDEN DR","Single-Space","FLAT","$1.50","2HR","(34.051346, -118.364351)"
"HO924","6101 SELMA AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.099876, -118.323404)"
"SVV92","4501 WILLOW BROOK AVE","Single-Space","FLAT","$1.50","2HR","(34.089795, -118.291236)"
"TZ568","18300 VENTURA BLVD","Single-Space","FLAT","$1.50","1HR","(34.167007, -118.531916)"
"LC266","8101 BEVERLY BLVD","Single-Space","FLAT","$1.50","2HR","(34.076185, -118.366456)"
"HO77","1600 CHEROKEE AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.100571, -118.334966)"
